"Organisasjonsnummer";"Content"
992612185;"Eiendomsutvikling. "
992612207;"Eiendomsutvikling. "
992612231;"Eiendomsutvikling. "
997030508;"Investere i, eie, drive, leie ut, utvikle og realisere fast eiendom, direkte eller indirekte gjennom deltakelse i andre selskaper, og alt som står i forbindelse med dette. "
999215319;"Virksomhet gjennom eiendomsutvikling. "
999215408;"Virksomhet gjennom eiendomsutvikling. "
999215610;"Utvikling og salg av egen fast eiendom. "
999215920;"Virksomhet gjennom eiendomsutvikling. "
999216021;"Virksomhet gjennom eiendomsutvikling. "
999216080;"Virksomhet gjennom eiendomsutvikling. "
943180555;"Å bygge og drive bussterminal i Oslo, samt annen virksomhet i forbindelse med dette. Og sørge for at bussterminalen blir drevet ved eget virksomhet eller ved utleie. "
967194190;"Eie og drive fast eiendom. "
974358603;"Yte pensjoner til medlemmene og deres etterlatte i henhold til pensjonskassens vedtekter. "
986874607;"Drift av nybygget parkeringsanlegg i tilknytning til Radiumhospitalet i Oslo for sykehusets ansatte og besøkende, og annen virksomhet som står i naturlig sammenheng med dette. "
993467049;"Spesialisthelsetjeneste "
917082308;"Å sørge for tilgjengelig jernbaneinfrastruktur og effektive og brukervennlige jernbaneinfrastrukturtjenester (inkludert knutepunkts- og terminalutvikling) som grunnlag for transport av personer og gods på det nasjonle jernbanenettet.  Foretakets samfunnspålagte oppgaver er planlegging, utbygging, forvaltning, drift og vedlikehold av det nasjonale jernbanenettet, trafikkstyring og forvaltning av jernbaneeiendom, som foretaket etter avtale med jernbanedirektoratet har påtatt seg ansvar for. Jernbane- og eiendomsvirksomheten skal sammen bygge opp om foretakets formål.  Virksomheten skal drives på en sikker, effektiv og miljøvennlig måte, og sikre god tilgjengelighet for alle grupper reisende.  Foretaket skal for øvrig drives etter forretningsmessige prinsipper. Virksomheten kan drives av foretaket selv, av heleide datterselskaper, eller gjennom andre selskaper det har eiendeler i eller samarbeider med. Datterselskaper mv skal drives i henhold til foretakets formål.  Foretakets ordinære virksomhet i henhold til bestemmelsene over forutsettes å starte opp fra den dato eier bestemmer. "
984661177;"Selskapet skal drive jernbanetransport, annen transportvirksomhet, samt virksomhet som står i naturlig sammenheng med dette. Virksomheten kan drives av selskapet selv, av heleide datterselskaper eller gjennom andre selskaper det har eierandeler i eller samarbeider med. "
911851725;"Sokn "
971282231;"Menighetsarbeide. "
974789264;"Sokn "
976987144;"Sokn "
976987365;"Sokn "
976987608;"Kirkelig fellesråd. "
991983813;"Investering i eiendom, aksjer og andre eierandeler i andre selskaper og foretak samt all annen virksomhet som hermed står i forbindelse. "
914531365;"Teatervirksomhet . "
921196164;"Å syna fram skodespel på norskt mål i bygd og by. "
962986633;"Statnett SF skal ha ansvaret for en rasjonell drift og utvikling av landets overføringsnett for kraft. Foretaket skal alene eller sammen med andre planlegge og prosjektere, bygge, eie og drive overføringsanlegg og utenlandsforbindelser. "
970010815;"Drift av museumer, dyrking av jordbruksvekster og gårdsbruk samt museums og suvernirbutikk, utleie av næringsarealer. "
970141669;"Strategisk organ for norsk forskning underlagt kultur-, undervisnings- og forskningsdepartementet (KUF). "
971032081;NA
971035854;"Undervisning ved universiteter. "
971278374;NA
971524960;"Stortinget "
975950662;"Offentlig eiendomsforvaltning, bygg- og anleggsvirksomhet. Rådgivning knyttet til fysisk sikring. "
976390512;"Kringkastingsvirksomhet. "
984661185;"Post- og logistikkvirksomhet basert på så vel fysiske som elektroniske løsninger og annen virksomhet som står i direkte og naturlig sammenheng med dette. Virksomheten kan drives av selskapet selv, av heleide datterselskaper, eller gjennom andre selskaper det har eierandeler i eller samarbeider med. Selskapet utfører oppdrag innen avfallstransport. "
986399445;"Bidra til økt innovasjon i norsk næringsliv. Selskapet vil ha følgende virkemidler: Finansiering, rådgiving og kompetansehevende tiltak, nettverk og infrastruktur og profilering av norsk næringsliv i utlandet. "
990351465;"Eiendomsbesittelse. "
990589798;"Hjemmelsinnehaver til eiendommen Nydalen Allè 33, gnr. 77 bnr. 40 i Oslo kommune. "
998596831;"Investering og utvikling av fast eiendom. "
841785312;"Sikre borettslagene i Nordre Ås og Åsbråten et best mulig lokalt tilbud med tjenester og fellesanlegg gjennom: 1) Å anlegge, eie og drive Søndre Holmlia Fritids- senter. 2) Inngå avtale med Oslo kommune om driften av anlegget. "
959150125;"Feriested for slitte husmødre av arbeiderklassen, rekonvalisenthjem samt beslektede formål. "
935570212;"Å Utbre Den Hellige Skrift. a) oversettelse av Bibelen b) produksjon og distribusjon av Bibelen c) fremme bruk av Bibelen i Norge d) bibelmisjon i andre land. "
988828408;"Å anskaffe/oppføre et ridesenter i Alnaparken som skal sikre et bredt tilbud av aktiviteter til alle befolkningsgrupper i nærområdet. "
971437286;"Drive gallerivirksomhet og gjennom dette utstille norsk og internasjonal samtidskunst. "
